lat,lon
45.35,7.8499985
46.85,5.9500046
46.85,5.2000046
46.85,5.4500046
46.85,5.7000046
46.65,7.0
46.65,7.25
46.65,7.5
46.300003,8.550003
46.300003,8.800003
46.200005,6.050003
46.200005,6.300003
46.200005,6.550003
45.800003,7.4500046
45.800003,7.7000046
46.85,7.0999985
46.85,7.3499985
46.85,7.5999985
46.85,7.8499985
47.200005,7.050003
47.200005,7.300003
47.200005,7.550003
47.200005,7.800003
46.200005,7.2000046
45.35,9.150002
45.85,8.150002
45.85,8.400002
45.85,8.650002
46.700005,6.2000046
46.700005,6.4500046
46.700005,6.7000046
46.700005,6.9500046
46.050003,5.2000046
46.050003,5.4500046
46.050003,5.7000046
46.050003,5.9500046
46.85,9.400002
45.65,9.200005
45.65,9.450005
45.65,9.700005
45.65,9.950005
45.35,7.25
45.35,7.5
45.35,7.75
45.050003,8.150002
45.050003,8.400002
45.050003,8.650002
45.050003,8.900002
46.65,7.1500015
46.65,7.4000015
46.65,7.6500015
46.35,8.5
46.35,8.75
47.1,9.050003
47.1,9.300003
47.1,9.550003
46.050003,9.150002
46.85,7.0
46.85,7.25
47.15,9.400002
47.15,9.900002
46.85,7.5
46.85,7.75
46.050003,9.400002
46.050003,9.650002
45.15,8.050003
45.15,8.300003
45.15,8.550003
45.15,8.800003
46.200005,9.0
46.200005,9.25
46.200005,9.5
46.200005,9.75
45.35,7.4000015
45.35,7.6500015
45.35,7.9000015
46.65,7.050003
46.65,7.300003
46.65,7.550003
46.300003,9.099998
46.300003,9.349998
46.85,7.1500015
46.85,7.4000015
46.85,7.6500015
46.85,7.9000015
45.85,8.200005
45.85,8.450005
45.85,8.700005
47.5,6.0999985
47.5,6.3499985
47.5,6.5999985
47.5,6.8499985
47.200005,8.099998
47.200005,8.349998
47.200005,8.599998
47.35,9.150002
47.35,9.400002
47.35,9.650002
47.35,9.900002
47.200005,8.849998
46.050003,7.1500015
46.050003,7.4000015
46.050003,7.9000015
45.35,7.300003
45.35,7.550003
45.35,7.800003
45.700005,9.200005
45.700005,9.450005
45.700005,9.700005
45.700005,9.950005
45.050003,8.200005
45.050003,8.450005
45.050003,8.700005
45.050003,8.950005
45.200005,9.050003
45.200005,9.300003
45.200005,9.550003
45.200005,9.800003
46.4,8.650002
46.85,7.050003
46.85,7.300003
47.15,9.450005
47.15,9.950005
46.85,7.550003
46.85,7.800003
46.4,8.900002
46.050003,9.200005
46.050003,9.450005
45.85,7.7000046
45.800003,9.050003
47.5,6.0
47.5,6.25
47.5,6.5
47.5,6.75
45.800003,9.300003
45.800003,9.550003
45.800003,9.800003
45.15,9.099998
45.15,9.349998
45.15,9.599998
45.15,9.849998
46.200005,9.050003
46.200005,9.300003
46.200005,9.550003
46.200005,9.800003
45.050003,7.2000046
45.050003,7.4500046
45.050003,7.7000046
45.050003,7.9500046
45.1,8.150002
45.1,8.400002
45.1,8.650002
45.1,8.900002
46.550003,7.2000046
46.550003,7.4500046
46.1,6.0999985
46.1,6.3499985
46.1,6.5999985
46.75,5.0999985
46.75,5.3499985
46.75,5.5999985
47.5,6.1500015
47.5,6.4000015
47.5,6.6500015
47.5,6.9000015
46.75,5.8499985
47.35,9.200005
