lat,lon
44.65,9.25
44.65,9.5
44.65,9.75
46.550003,14.0
46.550003,14.25
46.550003,14.5
47.65,14.25
47.65,14.5
47.65,14.75
46.550003,14.75
47.800003,14.300003
47.800003,14.550003
47.800003,14.800003
46.15,8.200005
46.15,8.450005
46.15,8.700005
46.15,8.950005
47.200005,10.650002
47.200005,10.900002
47.300003,5.0
47.300003,5.25
47.300003,5.5
47.300003,5.75
46.050003,13.099998
46.050003,13.349998
45.15,7.2000046
45.15,7.4500046
47.15,13.599998
47.15,13.849998
45.15,7.7000046
45.15,7.9500046
46.050003,13.599998
46.050003,13.849998
46.5,6.1500015
46.5,6.4000015
46.5,6.9000015
45.9,14.150002
45.9,14.400002
45.9,14.650002
46.65,6.2000046
46.65,6.4500046
46.65,6.7000046
47.6,11.150002
47.6,11.400002
47.6,11.650002
47.6,11.900002
46.65,6.9500046
45.6,10.050003
45.6,10.300003
45.6,10.550003
45.6,10.800003
48.0,6.0999985
48.0,6.3499985
48.0,6.5999985
48.0,6.8499985
45.4,13.75
47.4,12.200005
47.4,12.450005
47.4,12.700005
47.4,12.950005
47.1,10.0
45.550003,13.800003
44.700005,10.0
44.700005,10.25
44.700005,10.5
44.700005,10.75
47.75,9.0
47.75,9.25
47.75,9.5
47.75,9.75
46.200005,9.200005
46.200005,9.450005
46.200005,9.700005
46.200005,9.950005
47.25,8.099998
47.25,8.349998
47.25,8.599998
47.25,8.849998
46.35,7.4500046
46.35,7.9500046
46.9,11.349998
46.9,11.599998
46.9,11.849998
44.4,5.2000046
44.4,5.4500046
44.4,5.7000046
45.35,10.150002
44.4,5.9500046
45.35,10.400002
45.35,10.650002
45.35,10.900002
47.0,5.9000015
47.0,5.1500015
47.0,5.4000015
47.0,5.6500015
45.15,11.200005
45.15,11.450005
45.15,11.700005
45.15,11.950005
45.450005,14.0
45.450005,14.25
45.450005,14.5
45.450005,14.75
45.5,8.0
45.5,8.25
45.5,8.5
45.5,8.75
46.65,10.200005
47.700005,12.150002
47.700005,12.400002
47.700005,12.650002
47.700005,12.900002
47.800003,7.0
47.800003,7.25
44.65,10.099998
44.65,10.349998
44.65,10.599998
44.65,10.849998
47.800003,7.5
47.800003,7.75
46.15,9.050003
46.15,9.550003
46.15,9.800003
47.200005,11.25
47.200005,11.5
44.35,9.950005
44.35,9.700005
44.35,9.450005
44.35,9.200005
44.450005,6.2000046
44.450005,6.4500046
44.450005,6.7000046
44.450005,6.9500046
47.5,5.2000046
47.5,5.4500046
47.5,5.7000046
47.5,5.9500046
45.200005,12.200005
44.4,7.1500015
44.4,7.4000015
44.4,7.6500015
44.5,7.050003
44.5,7.300003
44.5,7.550003
44.5,7.800003
44.4,7.9000015
47.9,14.200005
47.9,14.450005
47.9,14.700005
47.9,14.950005
47.6,12.0
47.6,12.25
47.6,12.5
47.6,12.75
46.700005,11.200005
46.700005,11.450005
46.700005,11.700005
46.4,9.150002
47.4,13.050003
47.4,13.300003
44.700005,11.599998
44.700005,11.849998
47.4,13.550003
44.700005,11.099998
44.700005,11.349998
47.75,10.099998
47.75,10.349998
47.75,10.599998
47.75,10.849998
46.200005,10.050003
46.200005,10.300003
46.200005,10.800003
44.9,7.2000046
44.9,7.4500046
44.9,7.7000046
45.85,12.150002
45.85,12.400002
45.85,12.650002
45.85,12.900002
44.9,7.9500046
47.050003,7.3499985
47.050003,7.5999985
47.050003,7.8499985
45.0,14.700005
45.0,14.950005
47.5,7.1500015
45.35,11.75
45.35,11.0
45.35,11.25
